line: cmpptgjc3qhcjxcbcqgqkxhrms -- first: 3, second: 3
line: 1nhvv5foursevenpd -- first: 1, second: 7
line: twotwo771gsqhs9eight7 -- first: 2, second: 7
line: sixseven82hmghbsbtwo -- first: 6, second: 2
line: 1vkkbrtcqdnjpmfksbzq -- first: 1, second: 1
line: three4sevenltfxr75eightseven8 -- first: 3, second: 8
line: eight9six -- first: 8, second: 6
line: 9351 -- first: 9, second: 1
line: jqqqphgqthzjfnxrttnsjgvchzj7fmjrk -- first: 7, second: 7
line: ph7 -- first: 7, second: 7
line: kpqvr6onekf3kmblbhtd -- first: 6, second: 3
line: qjhr5 -- first: 5, second: 5
line: f3ninesix -- first: 3, second: 6
line: onetjfivephhhcz8m6 -- first: 1, second: 6
line: rpcmcctqzh1eight1fourtwognd -- first: 1, second: 2
line: 342124 -- first: 3, second: 4
line: njqzsqm5kkmlrkbh -- first: 5, second: 5
line: thhjgv9onepzzzhv -- first: 9, second: 1
line: 6six9mqhkzkzpnhb1dbmrgqblgbcsndbfnv4 -- first: 6, second: 4
line: nine8x5eightsrmgpfqsrnvkkql4 -- first: 9, second: 4
line: 95sixfour7nine -- first: 9, second: 9
line: seven6tknmlgclllnjbt5rbhqfq -- first: 7, second: 5
line: fourfoursevenmone1 -- first: 4, second: 1
line: hxgkxkczcm7eight45 -- first: 7, second: 5
line: 85three -- first: 8, second: 3
line: one51nineseven -- first: 1, second: 7
line: 223eight8qgzvlzninelhhvlzhxq -- first: 2, second: 9
line: 6vdrkgxjnine9 -- first: 6, second: 9
line: twofourcq68four -- first: 2, second: 4
line: seveneightsevenfivetwoone1cmxdbvtg -- first: 7, second: 1
line: seven6nineflcvcljf -- first: 7, second: 9
line: 6zvlxr23five -- first: 6, second: 5
line: geight94foursevendldmv2 -- first: 8, second: 2
line: fiveoneseven5two8hzpdkvjznpd -- first: 5, second: 8
line: 6lkcvqteight2eightnhbjrk3vdqmf -- first: 6, second: 3
line: 3three23 -- first: 3, second: 3
line: 8twospseight36rsscccxvkn -- first: 8, second: 6
line: 8fivethreetdrbmsfdzheightfour9kxnssglvb -- first: 8, second: 9
line: 2pvx4threegkgmfthxddbm -- first: 2, second: 3
line: five754379five5eightwozxv -- first: 5, second: 2
line: hcbmfrrs9s2smqpfcjbfour -- first: 9, second: 4
line: pxhqsbmfdlczcvx8eight8xfsxzfztxthreeseven -- first: 8, second: 7
line: seventworfkc9bmpxtwosevenprnfpbkmrn -- first: 7, second: 7
line: 8vlfkpfnbq -- first: 8, second: 8
line: sixgtvzxlnjone8hcpkgbvpcczmflcqfrfdghfivefour -- first: 6, second: 4
line: eighttwo7tznhgdhhthreethree -- first: 8, second: 3
line: 65four2one -- first: 6, second: 1
line: qfcjdvnrl1threesrptvdsbnzteight9 -- first: 1, second: 9
line: fourninefour25 -- first: 4, second: 5
line: twomgh3tp -- first: 2, second: 3
line: knsccxrpmfsixplvxndnzz4 -- first: 6, second: 4
line: eightfive43vbhskonefive -- first: 8, second: 5
line: 52ninefive -- first: 5, second: 5
line: 1fourninefourone65fourrstps -- first: 1, second: 4
line: eight6qcfone8ninecssbjfnlg -- first: 8, second: 9
line: 6nine6one -- first: 6, second: 1
line: eight5jpprhfx4four -- first: 8, second: 4
line: hkcqnfour8fourvsqzxzj -- first: 4, second: 4
line: 26lmtqvxqhftksqgbrlrcsixsix -- first: 2, second: 6
line: 4threedp24two -- first: 4, second: 2
line: 6zgplsrmmqf9mfphjv9eighteight -- first: 6, second: 8
line: 4threeeightkfpn -- first: 4, second: 8
line: threetwoqxglsgvjt9dprbnzvjf -- first: 3, second: 9
line: two4sevencppdpcskb -- first: 2, second: 7
line: v84qzxqdpjnxfcdbrcrbn7sdtpm7 -- first: 8, second: 7
line: 4zcgpcfdbxpfbtbfbpspxxjqkcgpf631five2 -- first: 4, second: 2
line: onetwo3fivefive -- first: 1, second: 5
line: 2fclzpjxqpnine -- first: 2, second: 9
line: kftrczvt36ncsftn7djchszjlcpdmrpxh -- first: 3, second: 7
line: 6qgdchbfive -- first: 6, second: 5
line: 6spqxqdgsnxvdcxrvkrfourfouronex -- first: 6, second: 1
line: 2lqbmhmgtmkbcf94three -- first: 2, second: 3
line: 7pddrgp2npqcjseven -- first: 7, second: 7
line: 91threevfpdjbxrrkcnlcgqq -- first: 9, second: 3
line: nphgjscsklsixkrtpvz6qvvngmn6twofive -- first: 6, second: 5
line: fivexhppdjnjdphnzjzfbdpdfour1 -- first: 5, second: 1
line: three1two6seven7six -- first: 3, second: 6
line: ninefoursevenvvpsjpsmtstjrqb4two -- first: 9, second: 2
line: hlfpzrxxfgfvvhbtnnmzcbxseventfcqcslrd2 -- first: 7, second: 2
line: 6dbkvcb2 -- first: 6, second: 2
line: 968sevengczvvqc25 -- first: 9, second: 5
line: c3zqzgnz9 -- first: 3, second: 9
line: fivehkxcseven8djnoneightvb -- first: 5, second: 8
line: dkvshkxv5two -- first: 5, second: 2
line: 9khljm -- first: 9, second: 9
line: 74threethree46nine24 -- first: 7, second: 4
line: 57fourfivedkhzqvsxqeightrqqfour8 -- first: 5, second: 8
line: 22znhr59kqjeight3 -- first: 2, second: 3
line: 6seveneightsevenbqksdtxztffive -- first: 6, second: 5
line: 23threenzv7fivethreeone8 -- first: 2, second: 8
line: fiveb1twocgseven7 -- first: 5, second: 7
line: 3jxrflshs -- first: 3, second: 3
line: zrjbpfkppltssrc718 -- first: 7, second: 8
line: 9rkfsmeight5pgmr -- first: 9, second: 5
line: 2ljspks -- first: 2, second: 2
line: 67sixnineqeightonefive -- first: 6, second: 5
line: vk42two5eightmstgrzndc -- first: 4, second: 8
line: 4eighttwotwo5hbchfnthree7 -- first: 4, second: 7
line: 7pdvcdfive5seventhree -- first: 7, second: 3
line: 6hthreesevenlbgqjl65 -- first: 6, second: 5
line: nine6oneqfjlxtbzmnfsrskqhonexkphxlvrmh -- first: 9, second: 1
line: 7four5eight -- first: 7, second: 8
line: 8lrseven8cjlthreefive -- first: 8, second: 5
line: mnr5thfqfgfsr -- first: 5, second: 5
line: 7three7threeqfrgl -- first: 7, second: 3
line: 15sevenzdzttjcmppeight -- first: 1, second: 8
line: five3ninefive1 -- first: 5, second: 1
line: 62l9dxjtrv5fivethreeoneightrf -- first: 6, second: 8
line: njgrrqddnsvxmfvljbsclbjqnkskmrpglgjr7three7 -- first: 7, second: 7
line: g8ninethree -- first: 8, second: 3
line: nds8 -- first: 8, second: 8
line: koneightlztzvzshjnnl6sevenn -- first: 1, second: 7
line: ninethree2eighttwohldqxcbtzn3 -- first: 9, second: 3
line: 26ssczpmhsng -- first: 2, second: 6
line: nine7czmjl16 -- first: 9, second: 6
line: two49294 -- first: 2, second: 4
line: threenrcrvseveneightone33dvggqv2 -- first: 3, second: 2
line: 8bpqrdftcqtwo1fxhlsixspfpzt -- first: 8, second: 6
line: 6sevensevenfourlzjszs9 -- first: 6, second: 9
line: gttlbcjpn74 -- first: 7, second: 4
line: cdfhbccrr8three13 -- first: 8, second: 3
line: ninehrldjvccjnrcdqv2 -- first: 9, second: 2
line: 8onenine1gzvfphsgmq -- first: 8, second: 1
line: 22five446 -- first: 2, second: 6
line: eightbksdflljdrznvmxjqg1nine -- first: 8, second: 9
line: 2nine7onenine9 -- first: 2, second: 9
line: gtnhfd72 -- first: 7, second: 2
line: 1svgmggsevenfiveseven -- first: 1, second: 7
line: 1fiveqbvnr2 -- first: 1, second: 2
line: 4one71four -- first: 4, second: 4
line: 51eight38mhkfz9kvmkhj -- first: 5, second: 9
line: 6onexnbv4twoz3twoqtjvdl -- first: 6, second: 2
line: 5sht6fkhqlonefour -- first: 5, second: 4
line: drjldqrbxxsix6two8five11 -- first: 6, second: 1
line: tvseven3ninelzvx3 -- first: 7, second: 3
line: five1four883bk9 -- first: 5, second: 9
line: 4three32three75eight -- first: 4, second: 8
line: ninexvn14 -- first: 9, second: 4
line: pnxzrqvkbfive3lzh -- first: 5, second: 3
line: 1kzkmgnzn9five -- first: 1, second: 5
line: 3l -- first: 3, second: 3
line: fourqjsp832eight8 -- first: 4, second: 8
line: 931346xngfkmhrcj5 -- first: 9, second: 5
line: 24cvbxthpzzkfiveleight -- first: 2, second: 8
line: k7scmbsxlvqlsbtqdnxn8nine -- first: 7, second: 9
line: fsdv5 -- first: 5, second: 5
line: 79nineonegpmbghmck6bsjnf -- first: 7, second: 6
line: one6844 -- first: 1, second: 4
line: 9dxbtcmtwo93 -- first: 9, second: 3
line: kzhffive4 -- first: 5, second: 4
line: 7ninesevengxlv -- first: 7, second: 7
line: rqcfztrpjlmnine9ffgg7 -- first: 9, second: 7
line: 1tbfpflrhzb -- first: 1, second: 1
line: zmmfdsixonefive7onethree9 -- first: 6, second: 9
line: 7fivezspfkjpbgz -- first: 7, second: 5
line: threetscqrztsix3bmtls7threeseven -- first: 3, second: 7
line: ninehtrvzrlfqmqtdk6twosevenkkdbzsrccd -- first: 9, second: 7
line: 694nnzfkjcprp3 -- first: 6, second: 3
line: sevenzfbslgstn1dbqnblrrffourfournvrx7 -- first: 7, second: 7
line: onetwo4hzljtcrdks13five -- first: 1, second: 5
line: 93threedrhgg5svpm4seven6 -- first: 9, second: 6
line: 1sixsixnineonesbvcptsk -- first: 1, second: 1
line: 3sixjnkvq5tqtzone -- first: 3, second: 1
line: sevenfivevjrmqqgf4 -- first: 7, second: 4
line: 18eightppqfivebmncqgrfour -- first: 1, second: 4
line: sixonefourhdzbgjhlj29one -- first: 6, second: 1
line: three1jrgjjtq -- first: 3, second: 1
line: 41three3three62 -- first: 4, second: 2
line: sevenonesix9one -- first: 7, second: 1
line: dr6one7 -- first: 6, second: 7
line: sevenrvgljfc9 -- first: 7, second: 9
line: 7sgqngt7sixfour -- first: 7, second: 4
line: 9smcksthreekbpczppvv -- first: 9, second: 3
line: 7fivedptmgrkd4seven -- first: 7, second: 7
line: 82onefourfivepzqcqzq9 -- first: 8, second: 9
line: 6zx -- first: 6, second: 6
line: 7dfk8lsix -- first: 7, second: 6
line: eight2nl8573seven1 -- first: 8, second: 1
line: 5tx6seven3gmhxkcclmrsrggpbgl4 -- first: 5, second: 4
line: fivetwo2three42onegzt1 -- first: 5, second: 1
line: eightninelbltqg448eight -- first: 8, second: 8
line: 9lhbrvfhsbtzlrfivefour2 -- first: 9, second: 2
line: dhlhk31znbvzbxkxzhvnone2gglg8 -- first: 3, second: 8
line: twobxrrlpdcb6five -- first: 2, second: 5
line: ddgmsevensevenv99six -- first: 7, second: 6
line: 5vztngb -- first: 5, second: 5
line: qlfnc3five -- first: 3, second: 5
line: tslrgmptqlntwoxt5qsxfclzgzkgfzsnfkhj -- first: 2, second: 5
line: 87mmsxvpfrtfour -- first: 8, second: 4
line: mjtkmlfpk7eight -- first: 7, second: 8
line: 4k12ljdx -- first: 4, second: 2
line: 2bgrmlszl -- first: 2, second: 2
line: qmfffgpdgtwo3rfgfmpxk3rjxthn9five -- first: 2, second: 5
line: 4lpgxn6sg4 -- first: 4, second: 4
line: 1xpktpcmmgbnrct8358one3 -- first: 1, second: 3
line: xtzdqjthreeeightone575 -- first: 3, second: 5
line: jdps3nbjdsjtpgl389z6twonebgt -- first: 3, second: 1
line: 1eighteightxfour77 -- first: 1, second: 7
line: rqrmk1m7gbkseven1xlxmncc -- first: 1, second: 1
line: cfkz24zh -- first: 2, second: 4
line: 18z -- first: 1, second: 8
line: 7kjbthk3twonine9lgn -- first: 7, second: 9
line: 7seventhree -- first: 7, second: 3
line: 3dxsmd5six -- first: 3, second: 6
line: r2threefv -- first: 2, second: 3
line: lbtlbvfvconegmcxnineclgbzsvkz5drtwo -- first: 1, second: 2
line: 45cpxfivethree -- first: 4, second: 3
line: one9six -- first: 1, second: 6
line: 7fivefivelthree -- first: 7, second: 3
line: sevensixfour4lrlgrhszpb2 -- first: 7, second: 2
line: twokrvnhgsixzmtmqth9one6 -- first: 2, second: 6
line: eightsixfsfr958716 -- first: 8, second: 6
line: smznctwozzphfk48eight -- first: 2, second: 8
line: mfvlq546onesxl56 -- first: 5, second: 6
line: 6fivemhh -- first: 6, second: 5
line: jhteightwonzpgtdbxgb3 -- first: 8, second: 3
line: 12gvh -- first: 1, second: 2
line: four3eightone56 -- first: 4, second: 6
line: vnhbkcvbkldcrtqthhbbzbqkgkdkbgcznpfour4five8 -- first: 4, second: 8
line: 992three75znxghjzzxkvtmthp -- first: 9, second: 5
line: three3three6dfivexbffbnbnjj26 -- first: 3, second: 6
line: three5zllrfthreecpfcvpflkm -- first: 3, second: 3
line: ftbdshfsjhpttsscpgcplz6ndzsk -- first: 6, second: 6
line: trsfrxlndtwothree3rzkvhgdnlq2three -- first: 2, second: 3
line: 998 -- first: 9, second: 8
line: fntnfour3seveneight1five9 -- first: 4, second: 9
line: 88485rhdfrgsix -- first: 8, second: 6
line: jgzbgcvjoneonefour39 -- first: 1, second: 9
line: 88vmxnine -- first: 8, second: 9
line: 2tjxscvpnhlbstthrees88 -- first: 2, second: 8
line: zonesthvqnfczfive67two81 -- first: 1, second: 1
line: 4sixckzftfh1mcfjdc -- first: 4, second: 1
line: ktmnjmlone3lthreetwolhxtpqftrbljmjjhbkl -- first: 1, second: 2
line: 8mmsevenfiveddjxqgpseven -- first: 8, second: 7
line: two3tzszcrf -- first: 2, second: 3
line: 4qmstsmrfive -- first: 4, second: 5
line: 5threennjstfivemnpgndnpkbfour5 -- first: 5, second: 5
line: fivetmpcsbtjlgdkct68sevenonet -- first: 5, second: 1
line: seven1one16seven47 -- first: 7, second: 7
line: lpmxtlq7 -- first: 7, second: 7
line: six1jmnhrsbktdlfqjrmg21 -- first: 6, second: 1
line: six2nine7xdzb6twoneqbk -- first: 6, second: 1
line: two5eight2jmfxqgrsfiveeight -- first: 2, second: 8
line: gvmcfzpthfourfivefourfive5lqskhz6 -- first: 4, second: 6
line: fourfive1 -- first: 4, second: 1
line: tzzkgsthsevenfour6seven -- first: 7, second: 7
line: twofour9 -- first: 2, second: 9
line: hdbqpvvr3qjsq -- first: 3, second: 3
line: seventwo1beight8 -- first: 7, second: 8
line: eight8eightvzhsxjjkfkvtpr -- first: 8, second: 8
line: 7three74gfph -- first: 7, second: 4
line: cxnine6fivexjvstcvpblmc3 -- first: 9, second: 3
line: 3xqhlksmqdzrrptnine1bjknntpts15j -- first: 3, second: 5
line: 7zrg -- first: 7, second: 7
line: dhhjdjvzv42one3 -- first: 4, second: 3
line: 54mlg8ldhdtcp -- first: 5, second: 8
line: five3zrpfphtone1dszspzqkqcqfzcm -- first: 5, second: 1
line: vzjdxhbnnxvfnb6nnjone3twonine -- first: 6, second: 9
line: lbjsfzfmcn7two -- first: 7, second: 2
line: gctcfive3l8twonezbr -- first: 5, second: 1
line: 43sevenfour81three -- first: 4, second: 3
line: eight82one56gmlgvchbf7five -- first: 8, second: 5
line: fournb2 -- first: 4, second: 2
line: 2czhjproneq -- first: 2, second: 1
line: 449oneskqjdcxszvvlhhddb -- first: 4, second: 1
line: fdnkhnvnzpfive7six -- first: 5, second: 6
line: four6slzcflxhthree5zbfour -- first: 4, second: 4
line: 8fsmsvhnkgnf53jvcshnp3sixqffls -- first: 8, second: 6
line: 2mckdlh5 -- first: 2, second: 5
line: 3onemnvfzpsevenseven1 -- first: 3, second: 1
line: fourgbzcvvzninemzcvj625 -- first: 4, second: 5
line: hmkgzmtwonine1threesdsdxfbgmpqrrsftz -- first: 2, second: 3
line: seven4hrmkdmmhmr9sixthreefour85 -- first: 7, second: 5
line: dbnpgh9vkdtjtct5five -- first: 9, second: 5
line: fourzzffg9vbgjmh -- first: 4, second: 9
line: 35sixqdvxmxpbntwo -- first: 3, second: 2
line: two3ninefourfivefivecllv -- first: 2, second: 5
line: ninerdscsdxthveight1sevenpvksjzqdhfjvhgs -- first: 9, second: 7
line: sixfive84xbgqjkthreexnine -- first: 6, second: 9
line: pmqbk9khcrhxjxmksixrxbffllkf -- first: 9, second: 6
line: 2eightsevenone51mdnrhs -- first: 2, second: 1
line: 62jfjdsklvnqthree8 -- first: 6, second: 8
line: 9sixfivetk3threeqxbkmgzxgpt -- first: 9, second: 3
line: rgrkj1sixfive5 -- first: 1, second: 5
line: 8ljlxjlcnthreelhjpngxmxnxdgv -- first: 8, second: 3
line: nine7snjkt3 -- first: 9, second: 3
line: x8fourdqfksrft3eight7fiveeight -- first: 8, second: 8
line: two7snltljp6 -- first: 2, second: 6
line: gflvdblndveighteight5sevenone3nineone -- first: 8, second: 1
line: 6five77oneninesmbtbtzp -- first: 6, second: 9
line: fiveqzxt96 -- first: 5, second: 6
line: cbjnmcmb3vhljkrxlxnkdtjprzh8nine -- first: 3, second: 9
line: 33dfqq -- first: 3, second: 3
line: 8one76fourxb -- first: 8, second: 4
line: dxxhb6bclg5dtmxzxrmb -- first: 6, second: 5
line: eight2jcgch2 -- first: 8, second: 2
line: twoseventqkxzb4 -- first: 2, second: 4
line: rhnp7dmsz42two4 -- first: 7, second: 4
line: three7ninejxszpkln7twov -- first: 3, second: 2
line: 4fivenhmsbkfnx51 -- first: 4, second: 1
line: 756zvfktjqc8 -- first: 7, second: 8
line: five45dvdjmk6two49 -- first: 5, second: 9
line: 8one8fhrs5threefbfrd -- first: 8, second: 3
line: 2mh7zpgbfourglvt7 -- first: 2, second: 7
line: 8vbzdvdmghrtwojmcmlbqzn -- first: 8, second: 2
line: twoninefive3qvseven3seven8 -- first: 2, second: 8
line: four3n2znkrjvz45 -- first: 4, second: 5
line: dkgbsx869qrgvtwo -- first: 8, second: 2
line: fttsp2twothreetsffjpk9cs -- first: 2, second: 9
line: 7nine3ksbjznrblrgbsrzvpm -- first: 7, second: 3
line: six7xqqssrdgkgbqjmsevenfivefour3 -- first: 6, second: 3
line: 9gsfhktv -- first: 9, second: 9
line: 2fgmmxjjzx -- first: 2, second: 2
line: one8gnhrkjonesix -- first: 1, second: 6
line: 5eight99zlcrkdp69eight8 -- first: 5, second: 8
line: lpghsqqltgqkvbphnspn9ldxsbdsqbgjpnl3 -- first: 9, second: 3
line: xpvvngqf37mng2 -- first: 3, second: 2
line: sixscvk8two -- first: 6, second: 2
line: 3xv8twofoursix -- first: 3, second: 6
line: eight4eightrxjcnzcqh3seventhree57 -- first: 8, second: 7
line: threethree537eightfour -- first: 3, second: 4
line: njk6threesevenzdzjmldmvkp -- first: 6, second: 7
line: onenpb53six -- first: 1, second: 6
line: three9144sixknrfjvveight -- first: 3, second: 8
line: 9twotwovjtdq8fourcmjnp9hq -- first: 9, second: 9
line: threepdfl3sfjg -- first: 3, second: 3
line: twokngvrbsq3threesixthreesix -- first: 2, second: 6
line: eight2six89msjtqqqsdlgjrdgh -- first: 8, second: 9
line: sixnine2five74three5 -- first: 6, second: 5
line: 9xdmhncneightzjsznthflxsix -- first: 9, second: 6
line: 51eightzjmlfctzfcf -- first: 5, second: 8
line: 4sixhjrnine2eight4 -- first: 4, second: 4
line: ninesixonetwoeight1four -- first: 9, second: 4
line: 4sixfkllzstwo91 -- first: 4, second: 1
line: rtlkqg2fourxhgcfive92hsvjpczsjtq -- first: 2, second: 2
line: two17 -- first: 2, second: 7
line: three85two5five6twobpftvzkcq -- first: 3, second: 2
line: sevensevenone5 -- first: 7, second: 5
line: ng43gcvc3eight -- first: 4, second: 8
line: jzjbsttcrdgfhsddrhkhzgqjjsmpntjqz3sixcvbksklr -- first: 3, second: 6
line: hpzeightksvmxhsix6chnllpzh7 -- first: 8, second: 7
line: ninek98sixnineeightjptkmbbsghseven -- first: 9, second: 7
line: lssfiveone5five6zone -- first: 5, second: 1
line: 5cjdzgtsixseven4seven6bkprzxn -- first: 5, second: 6
line: 3fivemtbpznnine4sqhc -- first: 3, second: 4
line: fourdllqn4 -- first: 4, second: 4
line: 86kxftxhrvbv7bqgvbflh -- first: 8, second: 7
line: 6one91ctlzztdkkt5 -- first: 6, second: 5
line: three81seven -- first: 3, second: 7
line: 5fivedltbtfl1hsixnine -- first: 5, second: 9
line: 3eightone2five5nfbdqnxftkvnznjkqmf -- first: 3, second: 5
line: fiveltxdrgzlnptvql7 -- first: 5, second: 7
line: two83eight -- first: 2, second: 8
line: zggkonefour46eightninesdcxthree -- first: 1, second: 3
line: one7sevensck -- first: 1, second: 7
line: mnd12fourhjplkzkbzb5dvhnttq9zdftpk -- first: 1, second: 9
line: oneljbdxmggg4 -- first: 1, second: 4
line: 6six6eight5 -- first: 6, second: 5
line: threefourtwo9 -- first: 3, second: 9
line: 3three4bdbzmhfkc -- first: 3, second: 4
line: 9zcsixhfrvsmjbh -- first: 9, second: 6
line: 2pmdhtmlxtfive7 -- first: 2, second: 7
line: 16bfldpmhvpr -- first: 1, second: 6
line: trshxpzhrz5seven5vcsqfgkl5 -- first: 5, second: 5
line: srfqlzzsmsix5sixdjqnzfjfqrzpqcklgn -- first: 6, second: 6
line: fqvvjmhsix53kqvdzxllmp7 -- first: 6, second: 7
line: fjgkq71ninetwosix -- first: 7, second: 6
line: 62nsdmxtrtdt7429 -- first: 6, second: 9
line: 8fivefive -- first: 8, second: 5
line: four8nineninenine9 -- first: 4, second: 9
line: ndfkcn26twoone9 -- first: 2, second: 9
line: dmchjmdone1tvnqspjpkgj -- first: 1, second: 1
line: 98gdlrmclhlninexg -- first: 9, second: 9
line: qv8 -- first: 8, second: 8
line: sevensjzpkjdkvh3mztx9toneightjn -- first: 7, second: 8
line: 1fx6q -- first: 1, second: 6
line: four423threepvs5 -- first: 4, second: 5
line: tqjllvqgtjxdplzmjnmvjjsgtwo2one77 -- first: 2, second: 7
line: zfvdbctxnnine1 -- first: 9, second: 1
line: 2three4cddhchjtseven6 -- first: 2, second: 6
line: 6dkceight5threexdzsdthreelqftbt -- first: 6, second: 3
line: cneightwonine5csjzkt79zn -- first: 8, second: 9
line: vcshhvsx2frfrxsvph -- first: 2, second: 2
line: hsrhpld6jeightcqnx3 -- first: 6, second: 3
line: zqljvbk672six -- first: 6, second: 6
line: sixfckdsbtmkj193onetwonexm -- first: 6, second: 1
line: zvrspqsmrkxdztwo7 -- first: 2, second: 7
line: 98fourninecvcddkfqkthree -- first: 9, second: 3
line: npg78frlvhzlvksgfive9eight6 -- first: 7, second: 6
line: 6sixsixfive -- first: 6, second: 5
line: hfgtwonemxlrsbzhbrssttxnbz8zxggdkfivekp1 -- first: 2, second: 1
line: bkrlvfhvfiveninefivefiverbbjrzvcglzztvbh3 -- first: 5, second: 3
line: 2six4 -- first: 2, second: 4
line: onepsp876 -- first: 1, second: 6
line: 8bhfstfgpbhgknqdcbnfvhrqxthreer -- first: 8, second: 3
line: 3dqnkpdxbffvnt9 -- first: 3, second: 9
line: 913sixsixcvvccvrkdg5 -- first: 9, second: 5
line: sixthree6sevenjnxqxpt -- first: 6, second: 7
line: 3one345hvspxcxds -- first: 3, second: 5
line: pgtdlvrpvn4crkct7sevenonelhvjhg -- first: 4, second: 1
line: 6threetlhxbbhg7n -- first: 6, second: 7
line: ggbfkmhv94five4325 -- first: 9, second: 5
line: gdsmhtgx4qhjhg8tblb -- first: 4, second: 8
line: dtckfqtq58six2sevennine -- first: 5, second: 9
line: 2zljcfivebmclpgtgzpchblxjtwovnrhnine9 -- first: 2, second: 9
line: eightninenine9nine -- first: 8, second: 9
line: rlmch2sddddvlc2one4xzvpmprrzcthree -- first: 2, second: 3
line: dcsjglpn233zhpfn9three -- first: 2, second: 3
line: nineqclzpbzsix3cltjqlnbcklgbrvgrqtngqgslhqfsh -- first: 9, second: 3
line: gskkptdskgqkbt9onepfjnzlcsslzzjmrkrbfhrfqfjnc -- first: 9, second: 1
line: 27sevenseven -- first: 2, second: 7
line: 7rnvlms2 -- first: 7, second: 2
line: ninecthtfive7vbfoursix -- first: 9, second: 6
line: 6four1sevenrvfmkrtbgbszpgxrmcdrseventhreefour -- first: 6, second: 4
line: one85mfivelncvhxthree1ktflkxq -- first: 1, second: 1
line: dpmpzqklqh3seven -- first: 3, second: 7
line: 91twolzjmtseven49 -- first: 9, second: 9
line: sevensix384 -- first: 7, second: 4
line: three45pcrn96 -- first: 3, second: 6
line: fkhhpninedt3eightbqlsvn -- first: 9, second: 8
line: threefjkvdhdrxjkdnxceightzkqz6 -- first: 3, second: 6
line: fivevbmlmmxhdxthdfqtfourthree8nine39 -- first: 5, second: 9
line: fpzvnpzsrl6qxbltmxrs1 -- first: 6, second: 1
line: xjmoneightfourthreesixrjnx3fourfivelzsghpfcvtwo -- first: 1, second: 2
line: sixbcbtlfjvfour3pqmjtzk8fmjx -- first: 6, second: 8
line: 77 -- first: 7, second: 7
line: 1ckkblncjm9sevenbkdvmbxxgnsix -- first: 1, second: 6
line: five5fpbxxonephfdqjnpdcpjvpboneightrd -- first: 5, second: 8
line: 3nztmnhcncfncpnzvpbfivehltwomrsdgp -- first: 3, second: 2
line: twosixthreethree7threessqchc8 -- first: 2, second: 8
line: rlxzjfm2four2 -- first: 2, second: 2
line: five75l65 -- first: 5, second: 5
line: 19onejm3bjhrf -- first: 1, second: 3
line: 7cjnsthreezxxzrld9dcqcsgkng -- first: 7, second: 9
line: vqbxmtmfspddpkthreeseven2vx -- first: 3, second: 2
line: 417sixhgdgfour3jflksddlvfour -- first: 4, second: 4
line: 8htlbhrtkmzqvqv9three2 -- first: 8, second: 2
line: rdrsqzcvxcnine6onehthree -- first: 9, second: 3
line: plptwone5sixnineg285foursnkklcjzdg -- first: 2, second: 4
line: fivesix8one -- first: 5, second: 1
line: vmseven19 -- first: 7, second: 9
line: lfour1qfmzxqrv9nine4eight -- first: 4, second: 8
line: vfczbqzrkbfivejzfgxzvssixrcxphssfoursix6mrzm -- first: 5, second: 6
line: 49ndvplzlzkqffngqbdrscgmsxvtxhseven -- first: 4, second: 7
line: fivejxnine4fldq2 -- first: 5, second: 2
line: onegzxhrgksnvnine8zfnvqfxponeljx -- first: 1, second: 1
line: jjx6ntghmhznlrjfbksgfcbbrhmklltfddkrvlzmzx2 -- first: 6, second: 2
line: six53316eightgxggjdt -- first: 6, second: 8
line: three7mxndngcvxbkgxqthreetwoneh -- first: 3, second: 1
line: 7nvcshvrkrlsd -- first: 7, second: 7
line: fivefive4four5kjqvpbqftfiveqxknvmx -- first: 5, second: 5
line: tbpmvq9 -- first: 9, second: 9
line: qnxmspzq2lcdzvskhzgfour -- first: 2, second: 4
line: ninetwoftqzfqcskvhzd4tgqdkvrttmtb77 -- first: 9, second: 7
line: fivethreedqzrhpseven6two64 -- first: 5, second: 4
line: 7bl -- first: 7, second: 7
line: 294nine7eight -- first: 2, second: 8
line: three9threevqzlxgrzsx -- first: 3, second: 3
line: three1rvdtcgctl8nine48jhtfscthree -- first: 3, second: 3
line: qgl1czghsevengnkztgszx -- first: 1, second: 7
line: 879onedxhh -- first: 8, second: 1
line: five95qmeight -- first: 5, second: 8
line: onerhbvfxcxtwonine32nxgjprtzc -- first: 1, second: 2
line: xchd7kcpjvmm2qnsnjntc7 -- first: 7, second: 7
line: rbeightfnzrfsnv6six4 -- first: 8, second: 4
line: hbfoneight2lkrqsgtffvl -- first: 1, second: 2
line: onehppls9 -- first: 1, second: 9
line: 7sksblpkpkfourtone -- first: 7, second: 1
line: mscbl2c9zvdztmthreeonesix -- first: 2, second: 6
line: foursskfbdgnd7mbqtl4threetwo5 -- first: 4, second: 5
line: threelpkgvrcsix13knhspknpjhonefour -- first: 3, second: 4
line: 4twovkrbhcm5three7eightcdxjlz2 -- first: 4, second: 2
line: qmtdbh1eight2four4gh8 -- first: 1, second: 8
line: one13 -- first: 1, second: 3
line: twotwo98three71four -- first: 2, second: 4
line: 4gmqvfour7pfgj8 -- first: 4, second: 8
line: 8twoseven -- first: 8, second: 7
line: qxcxqztxppgsgpphttfqkbd14htjvrvq -- first: 1, second: 4
line: 7heighttwothreegvtvhtbxfqj8 -- first: 7, second: 8
